RouteID,latitude,longitude,type,distance,eloc,address,tollGrpId,payment,agency,cost,lanes,state,tollName,road,duration,node,roadType,nodeIdx,
11,23.128532,72.592674,barrier,97671.4,JVKGJ7,"Sardar Patel Ring Road, Gandhinagar, Gandhinagar District, Gujarat, 382421",182,,,,0,Gujarat;GJ,Tragad Toll Plaza,Sardar Patel Ring Road;SP Ring Road,9164.5,270463361,RDA,1582,RDA>RDA>NGQ>NHY>NHY>NHY>NHY>NHY>NHY>NHY>SHY>SHY>SHY
11,23.115423,72.642845,barrier,101918.5,JVKE2Z,"Sardar Patel Ring Road, Gandhinagar, Gujarat, 382426",177,['cash'],,57,0,Gujarat;GJ,Bhaat Toll Plaza,Sardar Patel Ring Road;SP Ring Road,9515.9,270506139,RDA,1685,RDA>NGQ>NHY>NHY>NHY>NHY>NHY>NHY>NHY>SHY>SHY>SHY
11,23.096256,72.686405,barrier,107461.7,JVKGG7,"Ahmedabad Bypass, Asarva, Ahmedabad District, Gujarat, 382330",181,,NHAI,,0,Gujarat;GJ,Ranasan Toll Plaza,Ahmedabad Bypass;Sardar Patel Ring Road;SP Ring Road;NH 48,9964.8,84941335,NGQ,1801,NGQ>NHY>NHY>NHY>NHY>NHY>NHY>NHY>SHY>SHY>SHY
11,22.912917,72.957378,barrier,149436.5,JVIJ50,"Indore Ahmedabad Highway, Kathlal, Kheda District, Gujarat, 387630",536,['cash'],NHAI,400,4,Gujarat;GJ,Pithai Toll Plaza,Indore Ahmedabad Highway;NH 47,12733.1,271131433,NHY,2468,NHY>NHY>NHY>NHY>NHY>NHY>NHY>SHY>SHY>SHY
11,22.792389,73.533173,barrier,222599.9,JVJN3K,"Indore Ahmedabad Highway, Godhra, Panchmahals District, Gujarat, 388713",468,['cash'],NHAI,430,0,Gujarat;GJ,Vavadi Khurd Toll Plaza,Indore Ahmedabad Highway;NH 47,17350.4,276891405,NHY,3573,NHY>NHY>NHY>NHY>NHY>NHY>SHY>SHY>SHY
11,22.793038,73.842874,barrier,258276.2,JVJ1GB,"Indore Ahmedabad Highway, Devgadbaria, Dahod District, Gujarat, 389130",467,['cash'],NHAI,565,7,Gujarat;GJ,Bhatwada Godhra Toll Plaza,Indore Ahmedabad Highway;Godhra Road;NH 47,19653.8,271130612,NHY,4202,NHY>NHY>NHY>NHY>NHY>SHY>SHY>SHY
11,22.741769,74.83639,barrier,374271.2,JVH88Z,"Indore Ahmedabad Highway, Sardarpur, Dhar District, Madhya Pradesh, 454116",882,['cash'],NHAI,445,0,Madhya Pradesh;MP,Dattigaon Toll Plaza,Indore Ahmedabad Highway;NH 47,28091.2,271859692,NHY,6487,NHY>NHY>NHY>NHY>SHY>SHY>SHY
11,22.673233,75.545879,barrier,458374.9,JVG1MH,"Indore Ahmedabad Highway, Depalpur, Indore District, Madhya Pradesh, 453001",554,['cash'],NHAI,505,0,Madhya Pradesh;MP,Methwada Toll Plaza,Indore Ahmedabad Highway;Indore Dhar Road;NH 47,33148.3,94125848,NHY,7955,NHY>NHY>NHY>SHY>SHY>SHY
11,22.824767,75.938297,barrier,512140.5,JVG6P8,"Indore Bypass, Mangalya, Madhya Pradesh, 453771",557,['cash'],NHAI,220,6,Madhya Pradesh;MP,Indore Dewas Toll Plaza,Indore Bypass;AH 47;NH 52,38187.5,270626909,NHY,9104,NHY>NHY>SHY>SHY>SHY
11,22.928557,76.045416,barrier,530208,NL40ST,"Dewas Bypass, Dewas Nagar, Dewas District, Madhya Pradesh, 455111",390522100,['cash'],MPRDC,80,5,Madhya Pradesh;MP,Dewas Bypass Toll Plaza,Dewas Bypass;AH 47;NH 52,39830.4,280683901,NHY,9421,NHY>SHY>SHY>SHY
