RouteID,latitude,longitude,nodeIdx,road,address,tollName,agency,state,roadType,cost,payment,node,lanes,duration,tollGrpId,eloc,distance,type,Road Catagory
21,18.713984,73.645839,12326,Mumbai Pune Expressway;Yashwantrao Chavan Expressway;AH 47,"Mumbai Pune Expressway, Mawal, Pune District, Maharashtra, 410506",Talegaon Toll Plaza,MSRDC,Maharashtra;MH,NGQ,,,284207229,9,52440.2,673,JVOHCK,735907.3,ticket,"NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ"
21,18.327463,73.852182,13267,Mumbai Bangalore Highway;PB Road;Pune Satara Road;AH 47;NH 48,"Mumbai Bangalore Highway, Haveli, Pune District, Maharashtra, 412205",Khedshivapur Toll Plaza,NHAI,Maharashtra;MH,NGQ,115,['cash'],266315117,10,56081.9,110,JVMEDG,790848.9,barrier,"NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ"
21,17.809281,73.972119,14642,Mumbai Bangalore Highway;PB Road;Pune Satara Road;AH 47;NH 48,"Mumbai Bangalore Highway, Jaoli, Satara District, Maharashtra, 415020",Anewadi Toll Plaza,NHAI,Maharashtra;MH,NGQ,80,['cash'],266314770,4,60331.1,776,JVMEQJ,860343,barrier,"NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ"
21,17.365772,74.12299,15458,Mumbai Bangalore Highway;PB Road;AH 47;NH 48,"Mumbai Bangalore Highway, Karad, Satara District, Maharashtra, 415109",Tasawade Toll Plaza,NHAI,Maharashtra;MH,NGQ,75,['cash'],268038022,4,63840,129,JVME7V,914486.2,barrier,"NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ"
21,16.876656,74.298373,16365,AH 47;NH 48,"AH 47, Hatkanangle, Kolhapur District, Maharashtra, 416112",Kini Toll Plaza,NHAI,Maharashtra;MH,NGQ,70,['cash'],87681819,4,68790.2,128,JVMDQC,973846.4,barrier,"NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ"
21,16.542212,74.318342,17073,AH 47;NH 48,"AH 47, Nippani, Belagavi District, Karnataka, 591229",Kognoli Toll Plaza,NHAI,Karnataka;KA,NGQ,60,['cash'],270558403,5,71445.3,52,JVQ7SG,1013745.6,barrier,"NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ"
21,16.143369,74.517065,17910,AH 47;NH 48,"AH 47, Hukeri, Belagavi District, Karnataka, 591243",Hattargi Toll Plaza,NHAI,Karnataka;KA,NGQ,25,['cash'],86226275,5,75534.7,50,JVQ6EU,1067265.9,barrier,"NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ"
21,15.763099,74.647903,18740,AH 47;NH 48,"AH 47, Belgaum, Belagavi District, Karnataka, 591109",Hirebagewadi Toll Plaza,NHAI,Karnataka;KA,NGQ,115,['cash'],86176778,5,79580.2,48,JVPXJ2,1119463.8,barrier,"NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ"
21,15.488747,74.969933,19482,Hubli Bypass;AH 47;NH 48,"Hubli Bypass, Dharwad, Dharwad District, Karnataka, 580005",Narendra Toll Plaza,NHAI,Karnataka;KA,NGQ,45,['cash'],86176776,3,83122.3,390500026,JVQ9AM,1169461,barrier,"NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ"
21,15.318736,75.139827,19915,Hubli Bypass;AH 47;NH 48,"Hubli Bypass, Hubli Urban, Dharwad District, Karnataka, 580024",Gabbur Toll Plaza,NHAI,Karnataka;KA,NGQ,45,['cash'],283752556,4,85346.3,390522192,5V2VE1,1198927.2,barrier,"NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ"
